
=== CENTRALITY ANALYSIS RESULTS ===


--- DEGREE CENTRALITY ---
Top 100 nodes:
  1. Andrew V. Schally                        0.050370 🏆 WINNER
  2. Satoshi Ōmura                            0.042940 
  3. Paul Greengard                           0.038031 
  4. David Baltimore                          0.024678 
  5. Thomas C. Südhof                         0.022452 
  6. Stanley B. Prusiner                      0.022125 🏆 WINNER
  7. Susumu Tonegawa                          0.019441 🏆 WINNER
  8. Eric R. Kandel                           0.018688 🏆 WINNER
  9. Ralph M. Steinman                        0.018034 🏆 WINNER
 10. D. Carleton Gajdusek                     0.017706 
 11. Oliver Smithies                          0.015906 🏆 WINNER
 12. Rolf M. Zinkernagel                      0.014990 
 13. Shinya Yamanaka                          0.014335 🏆 WINNER
 14. Phillip A. Sharp                         0.013877 🏆 WINNER
 15. Harold Varmus                            0.013583 🏆 WINNER
 16. Louis J. Ignarro                         0.013452 🏆 WINNER
 17. J Dausset                                0.013386 
 18. J. Michael Bishop                        0.013353 🏆 WINNER
 19. Robert Roberts                           0.012961 
 20. Elizabeth H. Blackburn                   0.012928 🏆 WINNER
 21. Bruce Beutler                            0.012895 
 22. Luc Montagnier                           0.012372 
 23. Françoise Barré‐Sinoussi                 0.012241 
 24. Sydney Brenner                           0.011979 
 25. Peter C. Doherty                         0.011913 🏆 WINNER
 26. Arvid Carlsson                           0.011815 🏆 WINNER
 27. E. Donnall Thomas                        0.011652 
 28. Angus C. Nairn                           0.011259 
 29. Ferid Murad                              0.010997 🏆 WINNER
 30. Richard J. Roberts                       0.010931 🏆 WINNER
 31. Mario R. Capecchi                        0.010866 🏆 WINNER
 32. James E. Rothman                         0.010768 🏆 WINNER
 33. Hans Hengartner                          0.010473 
 34. Joseph L. Goldstein                      0.010310 
 35. Richard Axel                             0.010277 🏆 WINNER
 36. Bengt Samuelsson                         0.010211 
 37. John R. Vane                             0.010113 🏆 WINNER
 38. Michael S. Brown                         0.009884 🏆 WINNER
 39. Yoshinori Ohsumi                         0.009459 🏆 WINNER
 40. Konrad E. Bloch                          0.009360 
 41. H. Robert Horvitz                        0.009197 
 42. Randy Schekman                           0.009000 🏆 WINNER
 43. Günter Blobel                            0.008477 🏆 WINNER
 44. Hiroshi Tomoda                           0.008346 
 45. Harald zur Hausen                        0.008346 
 46. Clarence J. Gibbs                        0.008313 
 47. Bert Sakmann                             0.008182 
 48. Baruch S. Blumberg                       0.007888 🏆 WINNER
 49. H. Gobind Khorana                        0.007822 
 50. Jack W. Szostak                          0.007724 🏆 WINNER
 51. Baruj Benacerraf                         0.007691 
 52. Toshiaki Sunazuka                        0.007593 
 53. Paul Nurse                               0.007397 🏆 WINNER
 54. Roger Guillemin                          0.007397 
 55. Gerald M. Edelman                        0.007200 🏆 WINNER
 56. T. Reichstein                            0.006939 🏆 WINNER
 57. Haruo Tanaka                             0.006939 
 58. Kazuro Shiomi                            0.006939 
 59. Tim Hunt                                 0.006939 🏆 WINNER
 60. Abba J. Kastin                           0.006906 
 61. Akira Arimura                            0.006840 
 62. Marshall W. Nirenberg                    0.006611 🏆 WINNER
 63. Yōko Takahashi                           0.006546 
 64. Erwin Neher                              0.006513 🏆 WINNER
 65. Julius Axelrod                           0.006317 🏆 WINNER
 66. H. G. Khorana                            0.006218 🏆 WINNER
 67. Rainer Storb                             0.006153 
 68. Edwin G. Krebs                           0.006055 🏆 WINNER
 69. Andrew Fire                              0.005989 🏆 WINNER
 70. Barry J. Marshall                        0.005989 🏆 WINNER
 71. YUZURU IWAI                              0.005957 
 72. Jules A. Hoffmann                        0.005924 🏆 WINNER
 73. Stephen J. DeArmond                      0.005826 
 74. Martin Evans                             0.005793 🏆 WINNER
 75. Jue Lin                                  0.005695 
 76. Edmond H. Fischer                        0.005695 🏆 WINNER
 77. D.H. Coy                                 0.005629 
 78. Jean‐Sébastien Hoffmann                  0.005466 
 79. Rokuro Masuma                            0.005400 
 80. César Milstein                           0.005400 🏆 WINNER
 81. Alfred G. Gilman                         0.005368 🏆 WINNER
 82. E G Krebs                                0.005237 
 83. Akira Nakagawa                           0.005204 
 84. Christiane Nüsslein–Volhard              0.005171 
